Word,Definition,References (แม่คำ/ลูกคำ)
ก ข,[กอข้อ]  (โบ) น. พยัญชนะแต่ ก ถึง ฮ.,"แม่คำของ ""ก ข"" คือก"
ก ข ไม่กระดิกหู,[กอข้อ-]  (โบ)  (สำ) น. ผู้ที่เรียนหนังสือแล้วไม่รู้ อ่านไม่ออกเขียนไม่ได้.,"แม่คำของ ""ก ข ไม่กระดิกหู"" คือก"
กงเวียน,"(โบ) น. เครื่องมือสำหรับเขียนวงกลม ส่วนโค้งของวงกลม หรือกะระยะ ทำด้วยโลหะ มี ๒ ขา ปลายข้างหนึ่งแหลม ปลายอีกข้างหนึ่งมีดินสอเป็นต้น อีกแบบหนึ่งมีปลายแหลมทั้ง ๒ ข้าง แบบหลังนี้ใช้สำหรับเขียนบนโลหะก็ได้, กางเวียน ก็ว่า, ปัจจุบันเรียกว่า วงเวียน.","แม่คำของ ""กงเวียน"" คือกง ๒"
กฎ,"(๑)  [กด]  (โบ) ก. จดไว้เป็นหลักฐาน เช่น ให้นายยกกระบัตรกฎปากหลากคำไว้ (กฎหมายอายัดทาส), ตรา เช่น ตรัสแก่ขุนศรีภูริปรีชาให้กฎเป็นตำราไว้ (อัยการเบ็ดเสร็จ), พระมหาธรรมราชาก็ตรัสให้กฎลงมาให้เอาพระยารามเป็นพระยาพิชัย (พงศ. ๑๑๓๖). (เทียบ ข. กต่ ว่า จด). (อ. law).(๒)  [กด]  (โบ) น. คำบังคับ เช่น จึ่งสมเด็จพระมหินทราธิราชเจ้าแผ่นดินก็ตรัสให้ทำตามกฎให้ลงมานั้นทุกประการ (พงศ. ๑๑๓๖) (อ. law).(๓)  (กฎ) ข้อกำหนดหรือข้อบัญญัติที่บังคับให้ต้องมีการปฏิบัติตาม เช่น พระราชกฤษฎีกา กฎกระทรวง ประกาศกระทรวง (อ. law).(๔)  (วิทยา) ข้อกำหนดในเรื่องธรรมชาติตามที่ค้นคว้าได้. (อ. law).","ลูกคำของ ""กฎ"" คือกฎกระทรวงกฎเกณฑ์กฎข้อบังคับกฎทบวงกฎธรรมชาติกฎธรรมดากฎบัตรกฎบัตรกฎหมายกฎบัตรสหประชาชาติกฎมณเฑียรบาลกฎมณเฑียรบาลว่าด้วยการสืบราชสันตติวงศ์กฎมณเทียรบาลกฎมนเทียรบาลกฎศีลธรรมกฎเสนาบดีกฎหมู่กฎแห่งกรรมกฎอัยการศึก"
กฎมณเฑียรบาล,(โบ) น. กฎมนเทียรบาล.,"แม่คำของ ""กฎมณเฑียรบาล, กฎมณเทียรบาล"" คือกฎ"
กฎมณเทียรบาล,(โบ) น. กฎมนเทียรบาล.,"แม่คำของ ""กฎมณเฑียรบาล, กฎมณเทียรบาล"" คือกฎ"
กฎหมาย,"(๑)  (กฎ) น. กฎเกณฑ์ที่ผู้มีอำนาจตราขึ้นเพื่อใช้บังคับบุคคลให้ปฏิบัติตามเป็นการทั่วไป ผู้ใดไม่ปฏิบัติตามย่อมได้รับผลร้าย กฎหมายอาจตราขึ้นเพื่อกำหนดระเบียบแห่งความสัมพันธ์ระหว่างบุคคลหรือระหว่างบุคคลกับรัฐ หรือเพื่อใช้ในการบริหารประเทศ กฎหมายอาจเกิดจากจารีตประเพณีอันเป็นที่ยอมรับนับถือกันก็ได้.(๒)  (โบ) ก. จดบันทึกไว้เป็นหลักฐาน เช่น สั่งให้นายอินกฎหมายผู้มีชื่อทั้งนี้ไว้ (พงศ. อยุธยา), ทำหนังสือเป็นหลักฐาน เช่น อนึ่ง มีผู้ทำหนังสือร้องเรียนกฎหมายว่า…(พระราชกำหนดเก่า)(๓) ก. ออกหมายกำหนด เช่น ให้มหาดไทยกลาโหมกฎหมายบอกแก่ตระลาการ ถ้ากฎหมายมิทั่ว จะเอาตัวผู้กฎหมายลงโทษ (พระราชกำหนดเก่า),กฎหมายงานพระบรมศพครั้งกรุงเก่า(๔) ก. ตราสั่ง เช่น จึ่งกฎหมายให้สามไป เดือนหนึ่งจอมไตร ดำรัสให้เร่งคืนมา (พากย์)(๕) ก. กำหนดขีดขั้น เช่น ให้ปลูกโรงรจนาใน นอกหน้าศาลชัย ให้ตั้งพิกัดกฎหมาย (พากย์).","ลูกคำของ ""กฎหมาย"" คือกฎหมายตราสามดวงกฎหมายปกครองกฎหมายปิดปากกฎหมายพาณิชย์กฎหมายแพ่งกฎหมายมหาชนกฎหมายระหว่างประเทศกฎหมายรัฐธรรมนูญกฎหมายเหตุกฎหมายอาญากฎหมายเอกชน"
กฎหมายเหตุ,(๑) น. จดหมายเหตุ. (พงศ. ประเสริฐ)(๒)  (โบ) น. กฎเกณฑ์การปฏิบัติที่ตราขึ้นหรือเนื่องจากประเพณีซึ่งมีค่าบังคับ.,"แม่คำของ ""กฎหมายเหตุ"" คือกฎหมาย"
กน ๒,"(โบ) ก. มัว, คอย, เฝ้า, เช่น จะกนกินแต่นํ้าตาอนาทร (นิ. ลอนดอน).",
ก่น ๑,"(โบ) ก. ตั้งหน้า, มุ่ง, เช่น อยู่เย็นยงงก่นเกอดพิจลการ (ม. คำหลวง ทานกัณฑ์).","ลูกคำของ ""ก่น ๑"" คือก่นแต่"
